UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
chaeiry,@itschaeiry,2024-02-26T17:58:10.000Z,"chaeiry
@itschaeiry
·
Feb 26",The J in Jstlk stands for juicy,🍒,7,2,66,['https://pbs.twimg.com/amplify_video_thumb/1762174958363422721/img/RXRb7rX0ESSxQRS4.jpg'],https://twitter.com/itschaeiry/status/1762175236189880488
jstlk,@jstlk_,2024-02-29T01:30:03.000Z,"jstlk
@jstlk_
·
Feb 28",Kacey's brain is so lagged that it'll be another 24 hours by the time she realizes Ludwig retracted his accusation that Destiny's community was making threats   https://x.com/kaceytron/stat/kaceytron/status/1762991717186236792…,💖 💅,7,9,148,['https://pbs.twimg.com/media/GHd7comaUAA8pMz?format=png&name=small'],https://twitter.com/jstlk_/status/1763013730659680271
A Schizoposter,@Redeemed_Schizo,2024-02-18T11:58:13.000Z,"A Schizoposter
@Redeemed_Schizo
·
Feb 18","Replying to 
@jstlk_",,1,4,64,['https://pbs.twimg.com/media/GGnhortX0AAIgG8?format=png&name=900x900'],https://twitter.com/Redeemed_Schizo/status/1759185550169256442
Sailor,@ASST_Sailor,2024-02-23T02:43:57.000Z,"Sailor
@ASST_Sailor
·
Feb 22",Lav is so retarded “oops tee hee I had no idea jstlk was even a destiny orbiter I accidentally stumbled back into destiny’s community” YOU WENT ON KICK OR KEEP WTF,⛴ ⚓,2,,5,[],https://twitter.com/ASST_Sailor/status/1760858000657457496
Emperor Mel Gibson,@trendnoticer,2024-02-18T03:16:49.000Z,"Emperor Mel Gibson
@trendnoticer
·
Feb 17","Replying to @JacksBadAtNames and 
@jstlk_",,3,1,371,[],https://twitter.com/trendnoticer/status/1759054335244226823
George,@OrthoKanye,2024-02-18T11:47:54.000Z,"George
@OrthoKanye
·
Feb 18","Replying to 
@smokeyslimes
 and 
@jstlk_",🏵,,,23,[],https://twitter.com/OrthoKanye/status/1759182952078983433
PokiSage,@PokiSage,2024-02-25T05:09:12.000Z,"PokiSage
@PokiSage
·
Feb 25","Replying to 
@jstlk_
 and 
@DenimsTV",,,,5,['https://pbs.twimg.com/media/GHKHceWWcAADAjt?format=jpg&name=medium'],https://twitter.com/PokiSage/status/1761619331752894620
Head ☧riest,@headwaspriest,2024-02-18T18:48:14.000Z,"Head ☧riest
@headwaspriest
·
Feb 18","Replying to 
@darkcobrabws
 and 
@jstlk_",☦,1,,6,[],https://twitter.com/headwaspriest/status/1759288733226983433
✟,@bbqpulledbjork,2024-02-18T07:21:16.000Z,"✟
@bbqpulledbjork
·
Feb 18","Replying to 
@Hyperacc21
 @eW8fkgAM52GS9xW
 and 
@jstlk_",,,,42,[],https://twitter.com/bbqpulledbjork/status/1759115850047508911
Gwapo 𝕏𝕏,@1gwapo7,2024-02-18T14:41:48.000Z,"Gwapo 𝕏𝕏
@1gwapo7
·
Feb 18","Replying to 
@abyss_fmpfkvp1
 @MikeyMa33
 and 
@jstlk_",,1,,14,[],https://twitter.com/1gwapo7/status/1759226714193076563
Chief Neet,@geartahna1,2024-02-18T10:30:40.000Z,"Chief Neet
@geartahna1
·
Feb 18","Replying to 
@AlienLogos
 and 
@jstlk_",🌚,,,3,[],https://twitter.com/geartahna1/status/1759163517372903829
le funny,@lefunny87104,2024-02-18T13:56:06.000Z,"le funny
@lefunny87104
·
Feb 18","Replying to 
@TangerineMika
 and 
@jstlk_",,1,,23,[],https://twitter.com/lefunny87104/status/1759215215307096378
FirePapiChulo,@litmanthatslit,2024-02-25T01:05:37.000Z,"FirePapiChulo
@litmanthatslit
·
Feb 24","Replying to 
@jstlk_
 @Twitch
 and 
@hasanthehun",,,,20,[],https://twitter.com/litmanthatslit/status/1761558032729641009
Number3arturiafan,@withali7869,2024-02-18T09:59:37.000Z,"Number3arturiafan
@withali7869
·
Feb 18","Replying to 
@TheOmniP00ner
 and 
@jstlk_",,1,1,56,[],https://twitter.com/withali7869/status/1759155703590076433
Niclas R,@Nickegbg,2024-02-15T20:49:11.000Z,"Niclas R
@Nickegbg
·
Feb 15","Replying to 
@jstlk_",,1,,15,[],https://twitter.com/Nickegbg/status/1758232005899076045
Richard,@RichardsMask,2024-02-18T10:40:25.000Z,"Richard
@RichardsMask
·
Feb 18","Replying to 
@AlienLogos
 and 
@jstlk_",,,,15,[],https://twitter.com/RichardsMask/status/1759165968742330640
Vaiper,@mVaiperwild,2024-02-18T14:18:02.000Z,"Vaiper
@mVaiperwild
·
Feb 18","Replying to 
@darkcobrabws
 and 
@jstlk_",,1,,40,[],https://twitter.com/mVaiperwild/status/1759220733861847505
Ivandcc,@ivandcc,2024-02-18T03:25:52.000Z,"Ivandcc
@ivandcc
·
Feb 17","Replying to 
@AlienLogos
 and 
@jstlk_",,2,3,53,[],https://twitter.com/ivandcc/status/1759056610167562492
suz,@dankcatnip420,2024-02-16T01:32:34.000Z,"suz
@dankcatnip420
·
Feb 15","Replying to 
@OmniIcarus
 @ReasonPete
 and 
@jstlk_",,,,2,[],https://twitter.com/dankcatnip420/status/1758303323650703871
Marty Marr,@MartyMarr8004,2024-02-18T00:56:40.000Z,"Marty Marr
@MartyMarr8004
·
Feb 17","Replying to 
@jstlk_",,,2,24,[],https://twitter.com/MartyMarr8004/status/1759019063685083327
mattRlive,@mattRlive,2024-02-18T11:40:30.000Z,"mattRlive
@mattRlive
·
Feb 18","Replying to 
@jstlk_",,2,,102,[],https://twitter.com/mattRlive/status/1759181088855904477
Tamikadraws Aka Britishlassie,@Tamikadraws,2024-02-29T13:29:07.000Z,"Tamikadraws Aka Britishlassie
@Tamikadraws
·
Feb 29","We live now bois!! Talkin  
@jstlk_
  server d1ck pic sagas continue Babe wake up new Willy Mac vaush vid dropped  Turkey Tom nukes Keffals\Vaush  
@KEEMSTAR
 revives graces thorpes career?? (why?) all while playing DBZ kakarot lol.

Kick:https://kick.com/britishlassie…
Show more",✨ ✨ ⭐ ⭐ 🍆 👀 💥 🤦,,,2,['https://pbs.twimg.com/media/GHggOcwXIAAdBqO?format=jpg&name=small'],https://twitter.com/Tamikadraws/status/1763194689396539535
Koryonos,@GrimDweller,2024-02-18T19:44:15.000Z,"Koryonos
@GrimDweller
·
Feb 18","Replying to 
@LyneHyper
 and 
@jstlk_",,,,9,[],https://twitter.com/GrimDweller/status/1759302828831494236
Tamikadraws Aka Britishlassie,@Tamikadraws,2024-02-23T23:55:38.000Z,"Tamikadraws Aka Britishlassie
@Tamikadraws
·
Feb 23","Replying to 
@notsoErudite
 and 
@counterconor",✨ ✨ ⭐ ⭐,2,,18,[],https://twitter.com/Tamikadraws/status/1761178031148646593
permanent maniac,@threeeyedterf,2024-02-18T17:03:35.000Z,"permanent maniac
@threeeyedterf
·
Feb 18","Replying to 
@darkcobrabws
 and 
@jstlk_",,2,,23,[],https://twitter.com/threeeyedterf/status/1759262394650665139
Lo-Fi,@LoFiFlat,2024-02-21T17:14:49.000Z,"Lo-Fi
@LoFiFlat
·
Feb 21","Replying to 
@mrGemzar",,,,7,[],https://twitter.com/LoFiFlat/status/1760352385124507763
PokiSage,@PokiSage,2024-02-25T01:06:30.000Z,"PokiSage
@PokiSage
·
Feb 24","Replying to 
@jstlk_
 @Twitch
 and 
@hasanthehun",💀,,,7,['https://pbs.twimg.com/profile_images/1463980417309155331/a2hCzcpe_normal.jpg'],https://twitter.com/PokiSage/status/1761558254503539190
TCBrady,@TCBrady133,2024-02-29T04:37:11.000Z,"TCBrady
@TCBrady133
·
Feb 28","Replying to 
@jstlk_
 and 
@kaceytron",,,,11,[],https://twitter.com/TCBrady133/status/1763060826703843826
Stardust,@tweetsfromstar,2024-02-23T08:12:42.000Z,"Stardust
@tweetsfromstar
·
Feb 23","@jstlk_
 I'm bad with names, stop making fun of me messing up Rick's name",,1,,3,[],https://twitter.com/tweetsfromstar/status/1760940734981505397
lobthemagical,@lobthemagical,2024-02-18T13:44:33.000Z,"lobthemagical
@lobthemagical
·
Feb 18","Replying to 
@lloidGR_Corolla
 and 
@jstlk_",,2,,8,[],https://twitter.com/lobthemagical/status/1759212308062970105
David Marsh,@davidhmarsh,2024-02-18T10:59:53.000Z,"David Marsh
@davidhmarsh
·
Feb 18","Replying to 
@VexedVortecies
 and 
@jstlk_",,,,16,[],https://twitter.com/davidhmarsh/status/1759170870478860749
Meyster,@Meyster16,2024-02-18T08:25:47.000Z,"Meyster
@Meyster16
·
Feb 18","Replying to 
@julesucks1
 and 
@jstlk_",,,,39,[],https://twitter.com/Meyster16/status/1759132087712420278
